,ID,Sentence,Condition,Attractor,Target,ilm_sent_mean_surp,ilm_target_mean_surp,ilm_sent_b-a,ilm_sent_d-b,ilm_sent_c-a,ilm_sent_d-c,ilm_target_b-a,ilm_target_d-b,ilm_target_c-a,ilm_target_d-c,gptneo_sent_mean_surp,gptneo_target_mean_surp,gptneo_sent_b-a,gptneo_sent_d-b,gptneo_sent_c-a,gptneo_sent_d-c,gptneo_target_b-a,gptneo_target_d-b,gptneo_target_c-a,gptneo_target_d-c,distilgpt2_sent_mean_surp,distilgpt2_target_mean_surp,distilgpt2_sent_b-a,distilgpt2_sent_d-b,distilgpt2_sent_c-a,distilgpt2_sent_d-c,distilgpt2_target_b-a,distilgpt2_target_d-b,distilgpt2_target_c-a,distilgpt2_target_d-c
97,25,The music school was known around the world. Barry saw the piano that the pupil by the curtain passionately played during a recital one day. It sounded really good.,b,curtain,during,4.62,6.33,,0.31,,,,1.51,,,4.44,7.74,,0.25,,,,0.13,,,5.05,6.82,,0.29,,,,1.9,,
98,25,The music school was known around the world. Barry saw the stage that the pupil by the guitar passionately played during a recital one day. It sounded really good.,c,guitar,during,4.79,7.38,,,0.28,,,,1.27,,4.51,8.01,,,0.14,,,,0.4,,5.21,8.43,,,0.28,,,,1.51,
99,25,The music school was known around the world. Barry saw the stage that the pupil by the curtain passionately played during a recital one day. It sounded really good.,d,curtain,during,4.93,7.84,,,,0.14,,,,0.46,4.69,7.87,,,,0.18,,,,-0.14,5.34,8.72,,,,0.13,,,,0.29
100,26,There was an awful lot still to do. Jessica saw the cupcake that the lady by the bread very carefully baked while in the kitchen today. Some people were coming round for tea.,a,bread,baked,4.53,8.75,-0.02,,,,0.97,,,,4.27,8.85,-0.11,,,,0.36,,,,4.78,8.99,0.03,,,,1.75,,,
101,26,There was an awful lot still to do. Jessica saw the cupcake that the lady by the kettle very carefully baked while in the kitchen today. Some people were coming round for tea.,b,kettle,baked,4.51,9.72,,0.15,,,,6.45,,,4.16,9.21,,0.19,,,,8.88,,,4.81,10.74,,0.05,,,,3.93,,
102,26,There was an awful lot still to do. Jessica saw the handbag that the lady by the bread very carefully baked while in the kitchen today. Some people were coming round for tea.,c,bread,baked,4.69,14.68,,,0.16,,,,5.93,,4.43,18.0,,,0.16,,,,9.15,,4.85,13.07,,,0.07,,,,4.08,
103,26,There was an awful lot still to do. Jessica saw the handbag that the lady by the kettle very carefully baked while in the kitchen today. Some people were coming round for tea.,d,kettle,baked,4.66,16.17,,,,-0.03,,,,1.49,4.35,18.09,,,,-0.08,,,,0.09,4.86,14.67,,,,0.01,,,,1.6
104,27,The weather was really good that afternoon. Bob noticed the orange that the boy with the apple really slowly peeled after relaxing in the sun. It was time for a quick snack.,a,apple,peeled,4.4,4.71,0.12,,,,1.17,,,,4.24,4.33,0.11,,,,0.74,,,,4.77,6.28,0.09,,,,0.66,,,
105,27,The weather was really good that afternoon. Bob noticed the orange that the boy with the juice really slowly peeled after relaxing in the sun. It was time for a quick snack.,b,juice,peeled,4.52,5.88,,0.04,,,,0.76,,,4.35,5.07,,0.0,,,,0.22,,,4.86,6.94,,0.08,,,,-0.43,,
106,27,The weather was really good that afternoon. Bob noticed the towel that the boy with the apple really slowly peeled after relaxing in the sun. It was time for a quick snack.,c,apple,peeled,4.49,6.56,,,0.09,,,,1.85,,4.23,5.13,,,-0.01,,,,0.8,,4.86,5.89,,,0.09,,,,-0.39,
107,27,The weather was really good that afternoon. Bob noticed the towel that the boy with the juice really slowly peeled after relaxing in the sun. It was time for a quick snack.,d,juice,peeled,4.56,6.64,,,,0.07,,,,0.08,4.35,5.29,,,,0.12,,,,0.16,4.94,6.51,,,,0.08,,,,0.62
108,28,It was a surprisingly cold winter. Janice admired the jumper that the woman with the scarf quite happily knitted while at home last week. It was important to keep warm.,a,scarf,knitted,4.45,6.22,0.17,,,,0.53,,,,4.16,4.07,0.03,,,,-0.2,,,,4.65,5.33,0.15,,,,1.23,,,
109,28,It was a surprisingly cold winter. Janice admired the jumper that the woman with the paper quite happily knitted while at home last week. It was important to keep warm.,b,paper,knitted,4.62,6.75,,-0.05,,,,0.7,,,4.19,3.87,,0.04,,,,2.3,,,4.8,6.56,,-0.12,,,,0.6,,
110,28,It was a surprisingly cold winter. Janice admired the fireplace that the woman with the scarf quite happily knitted while at home last week. It was important to keep warm.,c,scarf,knitted,4.44,7.17,,,-0.01,,,,0.95,,4.19,5.97,,,0.03,,,,1.9,,4.6,5.85,,,-0.05,,,,0.52,
111,28,It was a surprisingly cold winter. Janice admired the fireplace that the woman with the paper quite happily knitted while at home last week. It was important to keep warm.,d,paper,knitted,4.57,7.45,,,,0.13,,,,0.28,4.23,6.17,,,,0.04,,,,0.2,4.68,7.16,,,,0.08,,,,1.31
112,29,Things can be hectic in the morning. Melissa liked the crumpet that the woman with the bread very quickly toasted one busy day before work. There was barely enough time for breakfast.,a,bread,toasted,4.58,6.39,-0.02,,,,1.57,,,,4.21,5.78,0.05,,,,0.89,,,,4.69,8.65,0.01,,,,1.42,,,
113,29,Things can be hectic in the morning. Melissa liked the crumpet that the woman with the plate very quickly toasted one busy day before work. There was barely enough time for breakfast.,b,plate,toasted,4.56,7.96,,-0.05,,,,1.3,,,4.26,6.67,,-0.05,,,,3.25,,,4.7,10.07,,-0.16,,,,0.23,,
114,29,Things can be hectic in the morning. Melissa liked the teapot that the woman with the bread very quickly toasted one busy day before work. There was barely enough time for breakfast.,c,bread,toasted,4.56,8.36,,,-0.02,,,,1.97,,4.14,8.74,,,-0.07,,,,2.96,,4.54,9.46,,,-0.15,,,,0.81,
115,29,Things can be hectic in the morning. Melissa liked the teapot that the woman with the plate very quickly toasted one busy day before work. There was barely enough time for breakfast.,d,plate,toasted,4.51,9.26,,,,-0.05,,,,0.9,4.21,9.92,,,,0.07,,,,1.18,4.54,10.3,,,,0.0,,,,0.84
116,30,A new mall had opened in the city centre. Jimmy noticed the money that the guy with the cash needlessly spent during a large shopping spree. Some people don't know when to stop.,a,cash,spent,4.4,5.07,0.02,,,,-1.15,,,,3.73,3.31,0.1,,,,-0.33,,,,4.56,6.15,0.11,,,,0.18,,,
117,30,A new mall had opened in the city centre. Jimmy noticed the money that the guy with the cap needlessly spent during a large shopping spree. Some people don't know when to stop.,b,cap,spent,4.42,3.92,,0.08,,,,5.19,,,3.83,2.98,,0.27,,,,4.64,,,4.67,6.33,,0.06,,,,4.41,,
118,30,A new mall had opened in the city centre. Jimmy noticed the store that the guy with the cash needlessly spent during a large shopping spree. Some people don't know when to stop.,c,cash,spent,4.46,9.54,,,0.06,,,,4.47,,3.87,5.37,,,0.14,,,,2.06,,4.6,9.27,,,0.04,,,,3.12,
119,30,A new mall had opened in the city centre. Jimmy noticed the store that the guy with the cap needlessly spent during a large shopping spree. Some people don't know when to stop.,d,cap,spent,4.5,9.11,,,,0.04,,,,-0.43,4.1,7.62,,,,0.23,,,,2.25,4.73,10.74,,,,0.13,,,,1.47
120,31,Everyone was excited about the Summer Ball. Sophia liked the dress that the girl with the coat quite happily wore to the party last weekend. Everybody had a great time.,a,coat,wore,4.32,0.74,0.02,,,,0.2,,,,3.9,1.4,0.02,,,,0.33,,,,4.29,0.67,0.0,,,,0.49,,,
121,31,Everyone was excited about the Summer Ball. Sophia liked the dress that the girl with the money quite happily wore to the party last weekend. Everybody had a great time.,b,money,wore,4.34,0.94,,0.2,,,,7.13,,,3.92,1.73,,0.41,,,,8.83,,,4.29,1.16,,0.13,,,,5.62,,
122,31,Everyone was excited about the Summer Ball. Sophia liked the music that the girl with the coat quite happily wore to the party last weekend. Everybody had a great time.,c,coat,wore,4.55,7.49,,,0.23,,,,6.75,,4.3,9.1,,,0.4,,,,7.7,,4.46,4.59,,,0.17,,,,3.92,
123,31,Everyone was excited about the Summer Ball. Sophia liked the music that the girl with the money quite happily wore to the party last weekend. Everybody had a great time.,d,money,wore,4.54,8.07,,,,-0.01,,,,0.58,4.33,10.56,,,,0.03,,,,1.46,4.42,6.78,,,,-0.04,,,,2.19
124,32,It got extremely intense during the war. Vince found the rifle that the soldier near the gun carelessly fired before taking time to aim. It was a reckless thing to do.,a,gun,fired,4.4,3.61,0.08,,,,0.52,,,,4.38,5.73,-0.02,,,,0.36,,,,4.68,2.52,0.02,,,,1.06,,,
125,32,It got extremely intense during the war. Vince found the rifle that the soldier near the house carelessly fired before taking time to aim. It was a reckless thing to do.,b,house,fired,4.48,4.13,,0.43,,,,11.1,,,4.36,6.09,,0.21,,,,7.77,,,4.7,3.58,,0.39,,,,7.41,,
126,32,It got extremely intense during the war. Vince found the bandage that the soldier near the gun carelessly fired before taking time to aim. It was a reckless thing to do.,c,gun,fired,4.86,12.94,,,0.46,,,,9.33,,4.59,12.94,,,0.21,,,,7.21,,5.07,7.43,,,0.39,,,,4.91,
127,32,It got extremely intense during the war. Vince found the bandage that the soldier near the house carelessly fired before taking time to aim. It was a reckless thing to do.,d,house,fired,4.91,15.23,,,,0.05,,,,2.29,4.57,13.86,,,,-0.02,,,,0.92,5.09,10.99,,,,0.02,,,,3.56
